k = 178, real = 0.99767104434344100472, imag = -0.06820914365880632879
k = 179, real = 0.99764481310207542286, imag = -0.06859174068738094210
k = 180, real = 0.99761843513851955478, imag = -0.06897432762826674613
k = 181, real = 0.99759191045665263076, imag = -0.06935690442519720778
k = 182, real = 0.99756523906037575244, imag = -0.06973947102190730662
k = 183, real = 0.99753842095361133779, imag = -0.07012202736213352106
k = 184, real = 0.99751145614030345410, imag = -0.07050457338961385600
k = 185, real = 0.99748434462441792903, imag = -0.07088710904808780133
k = 186, real = 0.99745708640994190652, imag = -0.07126963428129640121
k = 187, real = 0.99742968150088417989, imag = -0.07165214903298221250
k = 188, real = 0.99740212990127530279, imag = -0.07203465324688933247
k = 189, real = 0.99737443161516714518, imag = -0.07241714686676341273
k = 190, real = 0.99734658664663322636, imag = -0.07279962983635167306
k = 191, real = 0.99731859499976860395, imag = -0.07318210209940288757
k = 192, real = 0.99729045667869020697, imag = -0.07356456359966742631
k = 193, real = 0.99726217168753616971, imag = -0.07394701428089719975
k = 194, real = 0.99723374003046627578, imag = -0.07432945408684575594
k = 195, real = 0.99720516171166184716, imag = -0.07471188296126821116
k = 196, real = 0.99717643673532618820, imag = -0.07509430084792130533
k = 197, real = 0.99714756510568347547, imag = -0.07547670769056338824
k = 198, real = 0.99711854682697997898, imag = -0.07585910343295444724
k = 199, real = 0.99708938190348339603, imag = -0.07624148801885606563
k = 200, real = 0.99706007033948296225, imag = -0.07662386139203149205
k = 201, real = 0.99703061213928945161, imag = -0.07700622349624564045
k = 202, real = 0.99700100730723528741, imag = -0.07738857427526504851
k = 203, real = 0.99697125584767432027, imag = -0.07777091367285794699
k = 204, real = 0.99694135776498216117, imag = -0.07815324163279423197
k = 205, real = 0.99691131306355573738, imag = -0.07853555809884547878
k = 206, real = 0.99688112174781384756, imag = -0.07891786301478494192
k = 207, real = 0.99685078382219660664, imag = -0.07930015632438759676
k = 208, real = 0.99682029929116566791, imag = -0.07968243797143012563
k = 209, real = 0.99678966815920455602, imag = -0.08006470789969089008
k = 210, real = 0.99675889043081800089, imag = -0.08044696605295001413
k = 211, real = 0.99672796611053249283, imag = -0.08082921237498932876
k = 212, real = 0.99669689520289606044, imag = -0.08121144680959244133
k = 213, real = 0.99666567771247815966, imag = -0.08159366930054465228
k = 214, real = 0.99663431364386989575, imag = -0.08197587979163306615
k = 215, real = 0.99660280300168413437, imag = -0.08235807822664653610
k = 216, real = 0.99657114579055483539, imag = -0.08274026454937569164
k = 217, real = 0.99653934201513794111, imag = -0.08312243870361291087
k = 218, real = 0.99650739168011082114, imag = -0.08350460063315243153
k = 219, real = 0.99647529479017216136, imag = -0.08388675028179022608
k = 220, real = 0.99644305135004263008, imag = -0.08426888759332407108
k = 221, real = 0.99641066136446410084, imag = -0.08465101251155361661
k = 222, real = 0.99637812483820020759, imag = -0.08503312498028027522
k = 223, real = 0.99634544177603590054, imag = -0.08541522494330733295
k = 224, real = 0.99631261218277800129, imag = -0.08579731234443989385
k = 225, real = 0.99627963606325464774, imag = -0.08617938712748489383
k = 226, real = 0.99624651342231551610, imag = -0.08656144923625117005
k = 227, real = 0.99621324426483204295, imag = -0.08694349861454937767
k = 228, real = 0.99617982859569698117, imag = -0.08732553520619205922
k = 229, real = 0.99614626641982462196, imag = -0.08770755895499365851
k = 230, real = 0.99611255774215112790, imag = -0.08808956980477050669
k = 231, real = 0.99607870256763397787, imag = -0.08847156769934076681
k = 232, real = 0.99604470090125196702, imag = -0.08885355258252460031
k = 233, real = 0.99601055274800587291, imag = -0.08923552439814401438
k = 234, real = 0.99597625811291778941, imag = -0.08961748309002295909
k = 235, real = 0.99594181700103134869, imag = -0.08999942860198734129
k = 236, real = 0.99590722941741172125, imag = -0.09038136087786498296
k = 237, real = 0.99587249536714572695, imag = -0.09076327986148562121
k = 238, real = 0.99583761485534161295, imag = -0.09114518549668100544
k = 239, real = 0.99580258788712916473, imag = -0.09152707772728482793
k = 240, real = 0.99576741446765981713, imag = -0.09190895649713272386
k = 241, real = 0.99573209460210643229, imag = -0.09229082175006235456
k = 242, real = 0.99569662829566352169, imag = -0.09267267342991331036
k = 243, real = 0.99566101555354691310, imag = -0.09305451148052724941
k = 244, real = 0.99562525638099430569, imag = -0.09343633584574778661
k = 245, real = 0.99558935078326460388, imag = -0.09381814646942054914
k = 246, real = 0.99555329876563847247, imag = -0.09419994329539320421
k = 247, real = 0.99551710033341811457, imag = -0.09458172626751544521
k = 248, real = 0.99548075549192693856, imag = -0.09496349532963899165
k = 249, real = 0.99544426424651033525, imag = -0.09534525042561761699
k = 250, real = 0.99540762660253490068, imag = -0.09572699149930716245
k = 251, real = 0.99537084256538899130, imag = -0.09610871849456550930
k = 252, real = 0.99533391214048227980, imag = -0.09649043135525259274
k = 253, real = 0.99529683533324608824, imag = -0.09687213002523047123
k = 254, real = 0.99525961214913338804, imag = -0.09725381444836327105
k = 255, real = 0.99522224259361835585, imag = -0.09763548456851720014
k = 256, real = 0.99518472667219692873, imag = -0.09801714032956060363
